title,content,date,press,url,sentiment,sentiment_score,sentiment_num
삼성전자 노사 긴장감 고조…임금협상 진통,"삼성전자 노조가 내달 3일 임시대의원회의를 열고 향후 대응에 나선다. 지난해부터 이어진 임금협상에서 사측이 임금인상 불가를 주장하면서, 노조는 대화 결렬까지 선언한 상황이다.
30일 업계에 따르면 삼성전자 내 최대 노조인 한국노총 금속노련 산하 전국삼성전자노조는 내달 3일 임시대의원대회를 열어 신규 임원을 선출하고 향후 계획을 논의할 계획이다. 앞서 노조는 회사가 제시한 임금협상 최종안에 대해 조합원 투표를 진행, 투표 결과 90.7%의 반대로 부결됐다.
삼성전자 서초사옥(자료: 전자신문 DB)
사측 최종안에는 조합발전기금 3000만원 지원 방안과 함께 노사 상생협의체를 통한 임금피크제, 임직원 휴식권 개선 협의 등 내용이 담겼다. 노조가 요구했던 연봉 1000만원 일괄 인상, 매년 영업이익 25％ 성과급 지급 등 임금 관련 요구는 반영되지 않았다.
회사 측은 임직원 대표로 구성된 노사협의회가 지난해 3월에 정한 기존 2021년도 임금인상분 외에는 추가 인상이 어렵다는 입장을 고수한 것으로 알려졌다.
노조위원장은 임금협상 최종안에 대한 조합원들의 압도적인 반대 여론에 대한 책임을 지고 사퇴했고, 이에 노조 비상대책위원회가 꾸려졌다.
비대위는 출범 직후 낸 입장문에서 “노사 간 대화는 이제 결렬됐다”면서 “중앙노동위원회 조정 신청을 통해 합법적인 쟁의행위권을 확보하고 회사에 맞서 더 큰 투쟁을 조직하겠다”고 발표했다.
특히 지난 26일 삼성전자가 반도체 사업 부문 임직원들에게 기본급의 최대 300%에 달하는 특별 격려금을 지급하겠다고 발표하면서 노조 내부에선 오히려 회사를 향한 비판의 목소리가 터져 나왔다.
노조 비대위는 특별보너스 지급 발표에 대해 “회사는 그간 임금교섭 자리에서 임금인상 여력이 없다고 변명해왔다”면서 “(우리가) 뒤통수를 맞았다. 노조와 직원들을 농락하는 것”이라고 비판했다. 그러면서 “경계현 대표이사가 직접 노조와 만나 소통하라”고 요구했다.
지난해 8월 삼성전자 노사는 창사 이래 첫 단체협약을 체결했고, 같은 해 10월부터 임금협상을 벌여왔다. 노조가 고용노동부 중앙노동위원회에 조정 신청을 하겠다고 밝힌 가운데 여기서도 노사 간 이견이 좁혀지지 않아 '조정 중지' 판정이 나올 경우 노조는 합법적으로 파업을 할 수 있는 쟁의권을 확보하게 된다. 실제 파업으로 이어지면 삼성전자 창사 이래 첫 파업이 된다.
다만 파업이 발생하더라도 그 효과는 크지 않을 것으로 관측된다. 현재 전국삼성전자노조의 조합원 수는 4500명 규모로, 국내 전체 삼성전자 임직원 4% 수준이다.
앞서 조합원 2500명 규모 삼성디스플레이 노조는 지난해 6월 2주간 넘게 소규모 파업을 벌였다가 결국 회사가 정한 기존 임금인상률에 따르기로 하고 임금협약을 체결한 바 있다.
삼성전자 측은 “노동조합과의 교섭에 성실하게 임하고 있고, 언제든 노조와 대화할 용의가 있다”고 밝혔다.",2022.01.30. 오후 12:24,전자신문,https://n.news.naver.com/mnews/article/030/0002996388,negative,0.9914,-1
"[넘버스]삼성전자, 노사갈등 지속 시 ESG 평가에 미칠 영향은","시간이 없다면
· 삼성전자 노사가 진행 중인 2021년 임금교섭이 난항에 빠졌습니다. 노조는 ""대화는 결렬됐다""며 파업 가능성도 시사했습니다.
· 실제 파업 전환 시 파장이 상당할 것으로 보입니다. 삼성전자가 최근 공들이고 있는 ESG(환경·사회·지배구조) 평가에도 영향을 미칠 수 있을 것 같은데요. 관련 내용을 살펴보려고 합니다.
삼성전자 노사가 진행 중인 2021년 임금교섭이 난항에 빠졌습니다. 삼성전자 노조 공동교섭단은 지난 25일 사측이 제시한 임금·복리후생 교섭 최종안에 대한 조합원 투표 결과를 발표했는데요. 투표에 참여한 조합원 중 90.7%가 사측 최종안에 반대표를 던졌습니다.
삼성전자 노조 지도부도 놀란 반응입니다. 삼성전자 노조는 지난 25일 입장문을 발표하고 “조합원들의 뜻을 엄중히 받아들이고 깊이 있는 대책 논의를 진행하겠다”고 밝혔습니다. 그러면서 “진윤석 삼성전자 노조 위원장은 이를 책임지고 사퇴한다”고 덧붙였습니다.
상황이 완전히 바뀌었음을 의미하는 겁니다. 진윤석 위원장은 사측과 대화 끝에 사측의 제안을 받아들여 조합원 투표까지 끌고 왔습니다. 그런데 투표 결과 압도적인 반대가 나오자 사퇴 의사를 밝힌 거죠. 사측과 진행하는 협상 전략에 대대적인 변화가 생길 수 있다는 점을 암시하는 대목입니다.
삼성전자 노조 공동교섭단 입장문 중 일부.
실제로 이날 노조는 “대화는 결렬됐다. 이제는 투쟁할 것”이라고 말했습니다. 그러면서 “중앙노동위원회 조정 신청을 통해 쟁의행위권을 확보하겠다”고 전했습니다. 쟁의행위권을 확보하겠다는 건 쉽게 말해 파업 가능성도 시사한 겁니다. 현대차 노조 사례가 떠오르네요.
노조가 실제 파업에 들어가면 파장이 꽤 클 것으로 보입니다. 당장 이재용 삼성전자 부회장의 ‘무노조 경영 폐기 선언’에 대한 평가가 달라질 수도 있겠네요.
삼성은 창업주인 이병철 회장이 생전에 “내 눈에 흙이 들어오기 전에는 노조를 용납할 수 없다”는 경영 철학을 세우면서 ‘무노조 경영’을 이어왔습니다. 이재용 삼성전자 부회장은 2020년 5월 “삼성에서 무노조 경영이라는 말이 나오지 않도록 하겠다”며 무노조 경영 폐기를 선언했습니다.
최근 삼성전자가 공들이고 있는 ESG(환경·사회·지배구조) 평가에도 영향을 미칠 가능성이 있습니다. 국내 대표 ESG 평가 기관으로는 한국기업지배구조원(KCGS)이 있는데요. 노사 관계가 ESG 평가 요소에 속하느냐고 물었습니다. 평가 기준을 담당하는 김진성 한국기업지배구조원 책임연구원 팀장은 “기업의 노사 갈등 등 노사 관계는 사회평가(S)에 속하는 사항”이라고 답변했습니다.
잠깐, 이것도 알아볼까요
∙ KCGS:
2011년부터 ESG 통합평가를 수행하고 있습니다. 매년 900개 상장회사를 대상으로 실시하는데요. 2018년부터 비상장 주요 금융기관 지배구조도 별도 평가하고 있습니다. 평가 목적은 투자자 등 이해관계자에게 ESG 평가 정보를 제공하기 위함입니다.
∙ MSCI:
MSCI는 ESG 평가만을 하는 곳은 아닙니다. 주식, 채권, 헤지펀드 관련 지수 및 포트폴리오 분석 도구를 제공하는데요. MSCI가 이 같은 정보를 제공하는 이유는 하나입니다. 홈페이지에서도 확인할 수 있는데요. ‘Better investments for a better world’. 쉽게 말해 투자 정보를 제공한다는 의미입니다. ESG도 투자 정보에 속한다는 거죠.
지난해  KCGS가 제시한 삼성전자 사회평가(S) 등급은 최고점인 A+인데요. 만약 임금협상을 둔 노사 갈등이 지속되면 올해는 결과가 달라질 수도 있는 겁니다.
MSCI ESG 평가 요소. (자료=MSCI)
글로벌 ESG 평가기관인 MSCI도 노사 관계를 사회평가(S) 요소 중 인적 자본(Human Capital)으로 구분해 점수를 책정하고 있습니다. MSCI가 평가한 삼성전자의 인적 자본 개발 능력은 ‘업계 평균’ 수준인데요. 노사 관계가 악화된다면 등급이 떨어질 가능성도 있습니다.
노사 갈등이 ESG 평가에 부정적 영향을 미친 타 기업 사례들도 있습니다. 빅데이터·AI(인공지능) 기반 ESG 평가기관인 지속가능발전소는 지난해 ‘연례 사건보고서’를 발표했는데요. 노사 갈등을 이유로 기아의 리스크 등급을 ‘심각’으로 평가했습니다. 기아 노조는 2020년 임금·단체 협상을 진행하며 4차례에 걸쳐 파업을 진행 했습니다.
생각해 볼 문제
∙
사측이 제시한 임금협상 최종안에는 노조가 요구한 임금 인상 내용이 반영되지 않았다고 알려졌습니다. 조합원들의 반발이 거센 이유도 이와 무관하지 않아 보이고요. 삼성전자 노사가 임금 인상 이슈를 어떻게 풀어나갈지 지켜볼 일입니다.",2022.01.30. 오전 8:26,블로터,https://n.news.naver.com/mnews/article/293/0000037850,negative,0.9962,-1
삼성전자 임금협상 파열음…첫 파업 가능성도,"지난해부터 노사간 임금협상을 진행중인 삼성전자에 파업 긴장감이 커지고 있습니다.
회사가 임금인상이 불가하다는 입장을 고수하자 노조는 '대화 결렬'을 선언하며 합법적 쟁의권을 확보하기로 했습니다.
오늘(30일) 업계에 따르면 삼성전자 내 최대 노조인 한국노총 금속노련 산하 전국삼성전자노조는 다음달 3일 임시대의원대회를 열어 신규 임원을 선출하고 향후 계획을 논의할 계획입니다. 결과에 따라 삼성전자에서 첫 파업이 발생할 가능성도 거론됩니다.
앞서 노조는 회사가 제시한 임금협상 최종안에 대해 조합원 투표를 진행했는데 투표 결과 90.7%의 반대로 부결됐습니다.
사측 최종안에는 조합발전기금 3천만원 지원 방안과 함께 노사 상생협의체를 통한 임금피크제, 임직원 휴식권 개선 협의 등 내용이 담겼지만, 노조가 요구했던 연봉 1천만원 일괄 인상, 매년 영업이익 25％ 성과급 지급 등 임금 관련 요구는 전혀 반영되지 않았습니다.
다만 파업이 발생하더라도 그 효과는 크지 않을 것으로 관측됩니다. 현재 전국삼성전자노조의 조합원 수는 4500명 규모로, 국내 전체 삼성전자 임직원(약 11만4천명)의 4% 수준입니다.
삼성전자 측은 ""노동조합과의 교섭에 성실하게 임하고 있고, 언제든 노조와 대화할 용의가 있다""고 밝혔습니다.",2022.01.30. 오전 10:35,SBS Biz,https://n.news.naver.com/mnews/article/374/0000273777,negative,0.9995,-1
삼성전자 노사에 감도는 긴장감…첫 파업 가능성도,"지난해부터 임금협상을 벌이고 있는 삼성전자 노사 사이에 긴장감이 고조되고 있습니다.
회사가 임금인상이 불가하다는 입장을 고수하자 노조는 '대화 결렬'을 선언하며 합법적 쟁의권을 확보하기로 했습니다.
삼성전자에서 첫 파업이 발생할 가능성도 거론됩니다.
오늘(30일) 업계에 따르면 삼성전자 내 최대 노조인 한국노총 금속노련 산하 전국삼성전자노조는 내달 3일 임시대의원대회를 열어 신규 임원을 선출하고 향후 계획을 논의할 계획입니다.
앞서 노조는 회사가 제시한 임금협상 최종안에 대해 조합원 투표를 진행했는데 투표 결과 90.7%의 반대로 부결됐습니다.
사측 최종안에는 조합발전기금 3천만 원 지원 방안과 함께 노사 상생협의체를 통한 임금피크제, 임직원 휴식권 개선 협의 등 내용이 담겼지만, 노조가 요구했던 연봉 1천만 원 일괄 인상, 매년 영업이익 25％ 성과급 지급 등 임금 관련 요구는 전혀 반영되지 않았습니다.
회사 측은 임직원 대표로 구성된 노사협의회가 작년 3월에 정한 기존 2021년도 임금인상분 외에는 추가 인상이 어렵다는 입장을 고수한 것으로 알려졌습니다.
노조위원장은 임금협상 최종안에 대한 조합원들의 압도적인 반대 여론에 대한 책임을 지고 사퇴했고, 이에 노조 비상대책위원회가 꾸려졌습니다.
비대위는 출범 직후 낸 입장문에서 ""노사 간 대화는 이제 결렬됐다""며 ""중앙노동위원회 조정 신청을 통해 합법적인 쟁의행위권을 확보하고 회사에 맞서 더 큰 투쟁을 조직하겠다""고 발표했습니다.
특히 지난 26일 삼성전자가 반도체 사업 부문 임직원들에게 기본급의 최대 300%에 달하는 특별 격려금을 지급하겠다고 발표하자 노조 내부에선 오히려 회사를 향한 비판의 목소리가 터져 나왔습니다.
노조 비대위는 특별보너스 지급 발표에 대해 ""회사는 그간 임금교섭 자리에서 임금인상 여력이 없다고 변명해왔다""면서 ""(우리가) 뒤통수를 맞았다. 노조와 직원들을 농락하는 것""이라고 비판했습니다.
그러면서 ""경계현 대표이사가 직접 노조와 만나 소통하라""고 요구했습니다.
삼성에서는 2020년 이재용 삼성전자 부회장의 '무노조 경영 원칙' 폐기 선언 이후 노동조합의 활동이 점차 본격화되는 분위기입니다.
지난해 8월 삼성전자 노사는 창사 이래 첫 단체협약을 체결했고, 같은 해 10월부터 임금협상을 벌여왔습니다.
노조가 고용노동부 중앙노동위원회에 조정 신청을 하겠다고 밝힌 가운데 여기서도 노사 간 이견이 좁혀지지 않아 '조정 중지' 판정이 나올 경우 노조는 합법적으로 파업을 할 수 있는 쟁의권을 확보하게 됩니다.
실제 파업으로 이어지면 삼성전자 창사 이래 첫 파업이 됩니다.
다만 파업이 발생하더라도 그 효과는 크지 않을 것으로 관측됩니다.
현재 전국삼성전자노조의 조합원 수는 4천500명 규모로, 국내 전체 삼성전자 임직원(약 11만4천 명)의 4% 수준입니다.
앞서 조합원 2천500명 규모의 삼성디스플레이 노조는 지난해 6월 2주간 넘게 소규모 파업을 벌였다가 결국 회사가 정한 기존 임금인상률에 따르기로 하고 임금협약을 체결한 바 있습니다.
삼성전자 측은 ""노동조합과의 교섭에 성실하게 임하고 있고, 언제든 노조와 대화할 용의가 있다""고 밝혔습니다.
(사진=연합뉴스)",2022.01.30. 오전 8:57,SBS,https://n.news.naver.com/mnews/article/055/0000950124,negative,0.9997,-1
이달 공매도 1위 LG화학…삼성전자·카카오뱅크·네이버 뒤이어,"급락세를 보인 1월 국내 증시에서 공매도 거래대금이 가장 많았던 종목은 LG화학으로 나타났습니다.
오늘(30일) 한국거래소에 따르면 지난 20거래일간 LG화학의 공매도 거래대금은 1조385억 원(일평균 519억 원)으로 공매도 대상인 코스피200·코스닥150 지수 구성 종목 중 가장 많았습니다.
이는 지난달 일평균 137억 원 수준에서 277.8% 증가한 수치입니다.
자회사인 LG에너지솔루션이 유가증권시장에 상장하면서 이에 대한 위험 회피(헤지) 투자가 늘어난 영향으로 추정됩니다.
한 기업의 주식을 매수하면 같은 업종의 다른 기업들을 공매도하는 식으로 위험을 회피하는 투자 전략 등에 공매도가 활용될 수 있습니다.
주가가 4.20% 오른 지난 7일엔 전체 거래대금 대비 공매도 비중이 39%에 달하는 등 주가 하락에 베팅하는 움직임도 나타났습니다.
다만 주가는 지난 28일 63만9천 원으로 마감해 지난달 말 61만5천 원 대비 한 달간 3.90% 올랐습니다.
LG에너지솔루션발 수급 불균형 영향에 LG화학의 주가는 이달에 장중 기준으로 60만5천 원에서 77만4천 원 사이를 오가는 등 변동성이 큰 모습이었습니다.
LG화학 다음으로 삼성전자의 공매도 거래대금(6천211억 원·일평균 311억 원)이 많았습니다.
지난달 일평균 거래대금(231억 원) 대비 34.6% 늘었습니다.
다만 이달 거래대금이 21조4천억 원에 달해 공매도 거래 비중은 2.9%에 불과했습니다.
카카오뱅크(4천726억 원·일평균 236억 원), 네이버(4천104억 원·일평균 205억 원), 삼성SDI(3천934억 원·일평균 197억 원), 크래프톤(3천893억 원·일평균 195억 원), 셀트리온(3천176억 원·일평균 159억 원), 카카오(3천64억 원·일평균 153억 원) 등 대형 성장주들도 공매도 거래 상위권에 올랐습니다.
코스닥시장에서는 엘앤에프(2천920억 원·일평균 146억 원), 에코프로비엠(2천726억 원·일평균 136억 원)에 대한 공매도 거래대금이 가장 많았습니다.
전체 증시의 공매도 거래대금은 지난해 5월 공매도가 재개된 이후 월간 기준 최대를 기록했습니다.
이달 유가증권시장·코스닥시장에서 하루 평균 공매도 거래대금은 7천490억 원이었습니다.
공매도가 재개된 이후 종전 최대인 지난해 5월 일평균 공매도 거래대금 7천58억 원보다 많았습니다.
유가증권시장에서 일평균 공매도 거래대금은 5천752억 원, 코스닥시장에서는 1천738억 원이었습니다.
(사진=연합뉴스)",2022.01.30. 오전 8:55,SBS,https://n.news.naver.com/mnews/article/055/0000950123,negative,0.9914,-1
이달 공매도 1위 LG화학‥삼성전자·카카오뱅크·네이버 뒤이어,"자료 제공: 연합뉴스
1월 한 달 동안 공매도 거래대금이 가장 많았던 종목은 LG화학으로 나타났습니다.
한국거래소에 따르면 LG화학의 공매도 거래대금이 1조 385억원으로 하루 평균 519억원어치가 공매도 거래됐는데, 이는 12월 하루 평균 137억원의 4배에 이릅니다.
자회사인 LG에너지솔루션이 1월 27일 유가증권 시장에 상장하면서 이에 대한 위험회피 투자가 늘어난 영향으로 추정됩니다.
LG화학 다음으로 공매도 거래가 많았던 종목은 삼성전자와 카카오뱅크, 네이버 순으로 나타났습니다.
한편 1월 한 달 동안 유가증권시장과 코스닥 시장 전체에서 이뤄진 공매도 거래대금은 하루 평균 7천 490억원으로, 공매도가 재개된 지난해 5월 이후 최고치를 기록했습니다.",2022.01.30. 오후 3:13,MBC,https://n.news.naver.com/mnews/article/214/0001175623,negative,0.759,-1
이달 공매도 1위 LG화학…삼성전자·카카오뱅크·네이버 뒤이어,"전체 거래량 대비 공매도 비중은 호텔신라·아모레퍼시픽 순
1월 증시 하루 평균 공매도 7천500억원…작년 5월 공매도 재개 이후 최대
(서울=연합뉴스) 홍해인 기자 = 28일 오후 서울 중구 을지로 하나은행 본점 딜링룸 현황판에 코스피 종가가 표시돼 있다.
(서울=연합뉴스) 박원희 기자 = 급락세를 보인 1월 국내 증시에서 공매도 거래대금이 가장 많았던 종목은 LG화학으로 나타났다.
30일 한국거래소에 따르면 지난 20거래일간 LG화학의 공매도 거래대금은 1조385억원(일평균 519억원)으로 공매도 대상인 코스피200·코스닥150 지수 구성 종목 중 가장 많았다.
이는 지난달 일평균 137억원 수준에서 277.8% 증가한 수치다.
자회사인 LG에너지솔루션이 유가증권시장에 상장하면서 이에 대한 위험 회피(헤지) 투자가 늘어난 영향으로 추정된다.
한 기업의 주식을 매수하면 같은 업종의 다른 기업들을 공매도하는 식으로 위험을 회피하는 투자 전략 등에 공매도가 활용될 수 있다.
주가가 4.20% 오른 지난 7일엔 전체 거래대금 대비 공매도 비중이 39%에 달하는 등 주가 하락에 베팅하는 움직임도 나타났다.
다만 주가는 지난 28일 63만9천원으로 마감해 지난달 말 61만5천원 대비 한 달간 3.90% 올랐다.
LG에너지솔루션발 수급 불균형 영향에 LG화학의 주가는 이달에 장중 기준으로 60만5천원에서 77만4천원 사이를 오가는 등 변동성이 큰 모습이었다.
LG화학 다음으로 삼성전자의 공매도 거래대금(6천211억원·일평균 311억원)이 많았다. 지난달 일평균 거래대금(231억원) 대비 34.6% 늘었다.
다만 이달 거래대금이 21조4천억원에 달해 공매도 거래 비중은 2.9%에 불과했다.
카카오뱅크(4천726억원·일평균 236억원), 네이버(4천104억원·일평균 205억원), 삼성SDI(3천934억원·일평균 197억원), 크래프톤(3천893억원·일평균 195억원), 셀트리온(3천176억원·일평균 159억원), 카카오(3천64억원·일평균 153억원) 등 대형 성장주들도 공매도 거래 상위권에 올랐다.
코스닥시장에서는 엘앤에프(2천920억원·일평균 146억원), 에코프로비엠(2천726억원·일평균 136억원)에 대한 공매도 거래대금이 가장 많았다.
[표] 2022년 1월 공매도 거래대금 상위 종목
(단위: 백만원)
※ 2022년 1월 3∼28일 주가 등락률
※ 자료 = 한국거래소
전체 거래량 대비 공매도 거래량의 비중으로 보면 호텔신라가 28.35%로 가장 컸다.
호텔신라는 연결 기준 작년 한 해 영업이익이 1천188억원으로 2년 만에 흑자 전환에 성공했으나, 코로나19 확산 지속 등으로 업황 개선이 더딜 것으로 예상되면서 증권가에서는 목표가를 낮추는 중이다.
호텔신라 다음으로 아모레퍼시픽(19.98%), 코엔텍(18.53%), SK아이이테크놀로지(SKIET·18.44%), BGF리테일(18.32%) 등의 공매도 거래 비중이 컸다.
[표] 2022년 1월 공매도 거래 비중 상위 종목
(단위: 주)
※ 2022년 1월 3∼28일 주가 등락률
※ 자료 = 한국거래소
전체 증시의 공매도 거래대금은 지난해 5월 공매도가 재개된 이후 월간 기준 최대를 기록했다.
이달 유가증권시장·코스닥시장에서 하루 평균 공매도 거래대금은 7천490억원이었다. 공매도가 재개된 이후 종전 최대인 지난해 5월 일평균 공매도 거래대금 7천58억원보다 많았다.
유가증권시장에서 일평균 공매도 거래대금은 5천752억원, 코스닥시장에서는 1천738억원이었다.",2022.01.30. 오전 6:30,연합뉴스,https://n.news.naver.com/mnews/article/001/0012949997,neutral,0.6231,0
새해 공매도 1위 종목은 LG화학…2위는 삼성전자,"1월 공매도 거래대금 일평균 7490억 원
30일 한국거래소에 따르면 지난 20거래일 간 LG화학의 공매도 거래대금은 1조385억 원으로 나타났다. /더팩트 DB
1월 국내 증시에서 공매도 거래대금이 가장 많았던 종목은 LG화학으로 나타났다.
30일 한국거래소에 따르면 지난 20거래일 간 LG화학의 공매도 거래대금은 1조385억 원(일평균 519억 원)으로 공매도 대상인 코스피200·코스피150 지수 구성 종목 중 가장 많았다.
이는 지난달 일평균 137억 원에서 277.8% 증가한 수치다. 자회사인 LG에너지솔루션이 유가증권시장에 상장하면서 이에 대한 위험 회피(헤지) 투자가 늘어난 것으로 보인다.
LG화학 다음으로는 삼성전자의 공매도 거래대금(6211억 원)이 많았다. 지난달 일평균 거래대금(231억 원) 대비 34.6% 늘었으나 거래대금(21조4000억 원) 대비 공매도 거래 비중은 2.9%에 그쳤다.
이와 함께 카카오뱅크(4726억 원), 네이버(4104억 원), 삼성SDI(3934억 원), 크래프톤(3893억 원), 셀트리온(3176억 원), 카카오(306 4억원) 등도 공매도 거래 상위권에 이름을 올렸다.
코스닥 시장에서는 엘앤에프(2920억 원), 에코프로비에(2726억 원)에 대한 공매도 거래대금이 가장 많았다.
전체 거래량 대비 공매도 거래량의 비중으로 보면 호텔신라가 28.35%로 가장 컸다.
전체 증시의 공매도 거래대금은 지난해 5월 공매도가 재개된 이후 월간 기준 최대를 기록했다. 이달 코스피와 코스닥의 하루 평균 공매도 거래대금은 7490억 원으로 공매도가 재개된 이후 종전 최대인 지난해 5월(7058억 원)보다 많았다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.",2022.01.30. 오후 1:56,더팩트,https://n.news.naver.com/mnews/article/629/0000130296,neutral,0.9971,0
"[2보] 삼성전자, 작년 반도체 매출 94조원…인텔 제치고 1위","4분기 매출 76조5천700억원, 영업익 13조8천700억원
작년 시설투자 48조2천억원…반도체 43조6천억원, 디스플레이 2조6천억원
삼성전자 서초 사옥
[연합뉴스 자료사진]
(서울=연합뉴스) 조재영 기자 = 삼성전자가 신종 코로나바이러스 감염증(코로나19) 사태 장기화에도 반도체 호황에 힘입어 사상 최대 매출 실적을 올렸다.
특히 삼성전자는 반도체 부문에서 작년 한해 94조원 이상의 매출을 기록하며 미국의 인텔을 제치고 3년 만에 반도체 매출 세계 1위 자리에 올랐다.
삼성전자는 연결 기준 작년 한 해 영업이익이 51조6천339억원으로 전년보다 43.45% 증가했다고 27일 발표했다.
매출은 279조6천48억원으로 전년 대비 18.07% 증가했다.
삼성전자의 연간 매출은 역대 최대치다.
영업이익은 반도체 슈퍼호황기였던 2018년(58조8천900억원) 이후 최고 수준이자 역대 3번째로 많다.
4분기만 놓고 보면 영업이익은 13조8천668억원으로 전년 동기보다 53.28% 늘었다. 같은 분기 매출과 순이익은 각각 76조5천655억원과 10조8천380억원이었다.
지난해 호실적을 이끈 1등 공신은 단연 반도체다.
반도체 부문은 작년 한해 94조1천600억원의 매출을 올렸다.
[그래픽] 삼성전자 실적 추이
트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1  인스타그램 @yonhapgraphics
삼성전자 서초 사옥
[연합뉴스 자료 사진·재판매 및 DB 금지]
인텔도 이날 오전 작년 연간 790억2천만달러의 매출을 올렸다고 발표했다. 인텔의 회계 마감일인 작년 12월 25일의 원·달러 환율(1천187.5원)을 적용하면 약 93조8천억원으로, 삼성전자가 간발의 차로 인텔을 앞섰다.
삼성전자는 2018년 반도체 매출 1위였으나, 2019년 인텔에 정상 자리를 내준 뒤 2년 연속 2위에 머물렀다.
삼성전자의 4분기 반도체 매출은 26조100억원, 영업이익은 8조8천400억원을 각각 기록했다.
4분기에 평균판매단가(ASP)가 소폭 하락하면서 전분기보다 실적이 소폭 줄었지만, 전년 동기와 비교하면 첨단공정 확대와 ASP 상승으로 실적이 대폭 개선됐다.
스마트폰과 네트워크 사업(옛 IM부문)은 4분기에 매출 28조9천500억원, 영업이익 2조6천600억원을 각각 기록했다.
폴더블폰 등 프리미엄 스마트폰 판매 확대와 PC·태블릿·웨어러블 등의 견조한 판매로 매출이 소폭 증가했다.
소비자가전 부문(옛 CE부문)은 4분기 매출 15조3천500억원, 영업이익7천억원을 기록했다.
삼성전자는 지난해 약 48조2천억원의 시설투자를 단행했다. 사업별로는 반도체 43조6천억원, 디스플레이 2조6천억원 수준이다.
[그래픽] 삼성전자 사업부문별 실적
트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1  인스타그램 @yonhapgraphics",2022.01.27. 오전 9:10,연합뉴스,https://n.news.naver.com/mnews/article/001/0012944326,positive,0.9994,1
삼성전자 반도체로 ‘역대 최대’ 매출…내년 전망은?,"[앵커]
삼성전자가 지난해 역대 최대 매출을 기록했습니다.
특히 반도체 부문에서 작년 한 해 94조 원 이상의 매출을 기록해 인텔을 제치고 3년 만에 반도체 매출 세계 1위를 달성했습니다.
서주연 기자와 자세한 이야기 나눠보죠.
[앵커]
삼성전자가 사상 최대 매출 보였네요?
네, 삼성전자의 지난해 매출은 279조 6048억 원으로 전년 대비 18.07% 증가해 역대 최대치 연간 매출을 보였습니다.
영업이익은 51조6339억 원으로 1년 전 보다 43.45% 증가했다고 발표했습니다.
반도체 슈퍼호황기였던 2018년 이후 최고 수준이자 역대 3번째로 많은 영업이익을 낸 건데요.
또, 4분기만 비교하면, 영업이익이 13조 8668억원으로 전년 같은 기간 보다 53.28% 늘었습니다.
지난해 4개 분기 모두 분기 최고 매출을 기록하면서 연간 기준으로도 역대 최고 매출을 경신했습니다.
[앵커]
역시 반도체가 효자노릇을 했죠?
네, 반도체 부문이 지난해 94조1천600억 원의 매출을 올려 1등 공신을 담당했습니다.
DS부문은 지난해 4분기 매출 26조100억 원, 영업이익 8조 8400억 원을 보였는데요.
메모리 반도체 실적이 1년 전보다 크게 개선됐고, 파운드리(위탁생산)는 공급 확대로 분기 최대 매출을 달성했습니다.
디스플레이는 지난해 4분기 매출 9조600억 원, 영업이익 1조3200억 원을 냈습니다.
중소형 패널의 경우 주요 고객사의 스마트폰 신제품 수요가 유지되면서 성장했습니다.
이로써 삼성전자는 미국 인텔을 제치고 3년 만에 반도체 매출 세계 1위 자리에 차지했습니다.
또 폴더블폰 등 프리미엄 스마트폰 판매가 늘어난 상황에서 TV와 가전 판매량이 확대되면서 매출에 긍정적인 영향을 미쳤습니다.
[앵커]
올해 전망은 어떤가요?
아무래도 올해는 부품 공급 차질 가능성과 코로나19 관련 불확실성이 상존할 것으로 보이는데요.
그래도 삼성전자는 올 1분기에도 성장세를 이어갈 것으로 기대했습니다.
부품 사업의 경우 메모리 수요 회복 기대 속에 차별화 제품 확대로 고객 수요에 적극 대응한다는 겁니다.
또 파운드리는 수율 안정화와 플래그십(고사양) 제품용 주요 부품의 공급 확대를 추진할 방침입니다.
이와 함께 스마트폰과 TV 신제품 출시를 통해 수익성을 유지한다는 계획입니다.",2022.01.27. 오전 11:39,SBS Biz,https://n.news.naver.com/mnews/article/374/0000273468,positive,0.9996,1
