date,title,sentiment
2022-01-24,[단독] 삼성전자 또 당했다…거액 노린 유럽 특허 사냥꾼 소송,negative
2022-01-24,"""국내 제조업 취업자 5년간 18만명↓…삼성전자-현대차 합친 규모""",neutral
2022-01-24,"지난 5년간 삼성전자 하나, 현대차 하나가 사라졌다",neutral
2022-01-26,"반도체 호황에…삼성전자-SK하이닉스, 대규모 성과급 지급",positive
2022-01-26,"'최대 실적' 삼성전자·SK하이닉스, '역대급' 성과급 쏜다(종합)",positive
2022-01-26,"""안전한 신용카드 만들자"" 삼성전자, 지문인증 특화 반도체 출시",positive
2022-02-24,"""반도체 인재 발굴""…삼성전자 채용설명회 확대 개최",positive
2022-02-24,"삼성전자, 갤S22, 갤탭S8 대상 ‘정품 케이스 구독 서비스’ 출시",positive
2022-02-24,"'인싸템' 삼성전자 더 프리스타일, 영국서 호평",positive
2022-03-28,"검찰, '급식 일감몰아주기' 삼성전자·웰스토리 압수수색(종합2보)",negative
2022-03-28,삼성전자·삼성웰스토리 동시 압수수색…이재용 승계 겨누나,negative
2022-03-28,"검찰, '부당지원 의혹' 삼성전자·웰스토리 압수수색(종합)",negative
2022-03-30,"한종희 삼성전자 부회장, 사용자 경험 혁신 강조…""알아서 맞추는 캄테크 필요""",positive
2022-03-30,"삼성전자 ""보는 TV에서 즐기는 TV로…스크린 개념 바뀐다""",neutral
2022-03-30,[전자산업 DX 전략]③'마벨·파세토' 투자 사례로 살펴본 삼성전자의 미래,neutral
2022-05-30,"삼성전자, 인텔에 파운드리 공급 늘린다",positive
2022-05-30,한국은행 총재가 삼성전자 임원을 만난 이유 [조미현의 BOK 워치],positive
2022-05-30,"삼성전자, 다음 달 18일 ‘비스포크 팬파티’ 개최",neutral
2022-07-30,"삼성전자, 세계 최초 3나노 파운드리 출하",positive
2022-07-30,"""삼성전자 8층 언제 오나""…'연봉 3000만원' 흙수저의 절규 [박의명의 불개미 구조대]",negative
2022-07-30,"악재에도 잘 버틴 삼성·LG전자, 더 불안한 하반기는 어떻게?",negative
2022-07-31,삼성전자 CEO의 휴가 추천서…'리:프레이밍' 등 5권,neutral
2022-07-31,"삼성전자, 전 세계 주요 도시에 '갤럭시 언팩 2022' 옥외광고",neutral
2022-07-31,[언팩D-10②] 삼성전자 4세대 폴더블폰 공급망 살펴보니…부품사 기대감↑,positive
2022-09-28,"삼성전자 생활가전, '스마트싱스' 연결 1000만대 돌파",positive
2022-09-28,"'4만전자' 눈앞… 삼성전자, 6일째 '52주 신저가'",negative
2022-09-28,"삼성전자, 'SDC 2022' 맞아 美 샌프란시스코 갤럭시 체험관 운영",neutral
2022-10-26,"""핼러윈부터 연말 파티까지""…삼성전자, 비스포크 페스티벌",neutral
2022-10-26,"우리카드, 삼성전자와 ‘마이펫플랜’ 출시 업무협약",positive
2022-10-26,"우리카드, 삼성전자와 반려동물 케어 서비스 출시 협약",positive
2022-10-27,"이재용, 삼성전자 회장 승진",positive
2022-10-27,"이재용 삼성전자 회장의 조용한 취임, 왜?",neutral
2022-10-27,"삼성전자, 오늘 이사회…이재용 회장 선임 논의할까",neutral
2022-11-29,"""테슬라와 삼성전자 동시 투자""…개미들 몰리는 '이 상품'",neutral
2022-11-29,"삼성重, 3300억원 규모 삼성전자 반도체공장 공사 수주",positive
2022-11-29,"삼성重, 3300억 규모 삼성전자 반도체 공장 마감 공사 수주",positive
2023-02-26,"[MWC 2023] ""갤럭시 생태계, 직접 체험해 보세요""…삼성전자, 대규모 전시관 마련",neutral
2023-02-26,"삼성전자, 이라크 '스마트싱스 홈' 개관…중동 IoT시장 공략",positive
2023-02-26,"삼성전자, 이라크에 '스마트싱스 홈' 개관…중동 시장 공략",positive
2023-04-22,"삼성전자, 미 특허소송서 4000억원 배상 평결",negative
2023-04-22,"삼성전자, 미 특허침해 소송서 4천억 원 배상 평결",negative
2023-04-22,"삼성전자, 미 특허침해 소송서 4천억 원 배상 평결",negative
2023-04-23,"삼성전자, '스마트싱스'로 라마다 특수 공략",positive
2023-04-23,"'반도체 적자' 삼성전자, 2분기 '전체 적자' 전망도 나온다",negative
2023-04-23,"""삼성전자, 2분기 '전체 적자' 가능성""…전망 쏟아진 이유",negative
2023-04-26,"삼성전자, '방방냉방' 가능한 '비스포크 창문형 무풍에어컨' 출시",positive
2023-04-26,"삼성전자, '비스포크 무풍에어컨 윈도우핏' 출시…창문형 최초 무풍냉방",positive
2023-04-26,'사상 최대 적자' SK하이닉스‥삼성전자 발표 임박 '먹구름',negative
2023-04-27,"삼성전자, 中 가전전시회서 89형 마이크로 LED 공개",positive
2023-04-27,"증권가 ""삼성전자, 하반기 완만한 우상향"" 전망",negative
2023-04-27,"삼성 수익 추월한 LG전자…""1분기 웃고, 2분기도 기대""",positive
2023-04-28,"BTS, 블랙핑크, 삼성전자…尹대통령 美연설 빛낸 이름들",positive
2023-04-28,"""삼성전자, 2분기 흑자기조 유지 전망…목표가 8만→8.5만""-KB",positive
2023-04-28,"삼성전자 제쳤다…불경기 속 진가 뽐낸 가전명가, 주가 '훨훨'",positive
2023-05-30,"삼성전자, 프리미엄 TV 앞세워 '중동 공략' 시동",positive
2023-05-30,"삼성전자, 중동 프리미엄 TV 시장 공략 강화",positive
2023-05-30,"[특징주] 삼성전자·SK하이닉스, 52주 신고가 기록",positive
2023-07-26,"삼성전자, ‘갤럭시 Z 폴드5·플립5’ 한국서 공개",positive
2023-07-26,3년 연속 기업상 '녹색마스터피스상' 수상한 삼성전자,positive
2023-07-26,삼성전자·LG전자 '대한민국 올해의 녹색상품' 대거 수상,positive
2023-07-27,"삼성전자, 2Q 영업이익 6700억...미래투자 '역대최대'",positive
2023-07-27,"""재고량 '피크' 찍었다""…삼성전자 감산효과 '본격화'",negative
2023-07-27,"삼성전자 ""차량용 메모리 시장, 연평균 30% 중후반 성장""",positive
2023-07-28,"삼성전자, 낸드 위주 감산 확대… 하반기 ‘반도체 반등’ 앞당긴다",positive
2023-07-28,"삼성전자 사장 “갤럭시 Z플립5·폴드5, 1천만 대 이상 목표”",positive
2023-07-28,"삼성전자 ""올 폴더블 판매 50% 늘리겠다""",positive
2023-08-30,"삼성전자, 10월 '삼성 개발자 콘퍼런스' 연다…""개발자 모여라""",neutral
2023-08-30,"삼성전자, 개발자 콘퍼런스 개최…한종희, 비전 발표",neutral
2023-08-30,"삼성전자 개발자 콘퍼런스, 美 개최…누구나 현장 참여 가능",neutral
2023-09-26,"삼성전자, 업계 최초 LPCAMM 개발",positive
2023-09-26,"삼성전자, 업계 최초 LPCAMM 개발… 내년 상용화",positive
2023-09-26,삼성전자 ‘성능 50%’ 좋아진 D램 만든다…업계 최초라는데,positive
2023-10-30,"삼성전자, ‘갤럭시Z 플립5 레트로’ 출시(영상)",positive
2023-10-30,"삼성전자, 추억의 '벤츠폰' 담은 '갤럭시Z플립5 레트로' 출시",positive
2023-10-30,"삼성전자, 벤츠폰 재해석한 '갤럭시Z플립5 레트로' 출시",positive
2023-10-31,"삼성전자, 3분기 2.4조 영업익…메모리 저점 인식 확산",positive
2023-10-31,"삼성전자, 3분기 2.4조 영업익…메모리 저점 인식 확산(종합)",positive
2023-10-31,"삼성전자 ""낸드 선단 공정 전환 가속…9세대 양산성 월등""",positive
2023-11-27,"""미래 도전 속 안정""…삼성전자 사장단 인사 의미(종합)",positive
2023-11-27,"삼성전자, 용석우·김원경 사장 승진...한종희·경계현 '투톱' 유지",positive
2023-11-27,"삼성전자 사장단 인사날 귀국한 이재용, 인사 질문에…",positive
2023-12-25,"‘60만원대 태블릿’ 삼성전자, 갤럭시 탭 S9 FE 1월 출시",positive
2023-12-25,"삼성전자, 갤럭시탭S9 FE 시리즈 국내 출시…가격 62.9만원부터",positive
2023-12-25,삼성전자 1020세대 겨냥 갤럭시탭S9FE·S9FE+ 내달 국내 출시,positive
2023-12-28,"[단독] 한미반도체, HBM 핵심 'TC본더' 삼성전자 독점공급 논의",positive
2023-12-28,"""내년엔 정말 8만전자?""…삼성전자, 마지막 날도 '52주 신고가'[핫종목]",positive
2023-12-28,수의사 원격 상담·딥러닝 AI반도체…삼성전자가 키운 스타트업,positive
2024-01-29,"'실적 부진' 삼성전자, 성과급 희비…모바일 50%~반도체 0%",negative
2024-01-29,삼성전자 반도체 성과급 '0'...모바일은 연봉의 '50%',negative
2024-01-29,반도체 '0%' 모바일은 '연봉 50%'…삼성전자 연말 성과급 희비,negative
2024-01-30,"삼성전자, '갤럭시 S24 시리즈' 31일부터 전세계 120여국에서 순차 출시",positive
2024-01-30,"삼성·LG전자, 유럽 최대 디스플레이 전시서 B2B 신제품 선보여(종합)",positive
2024-01-30,"삼성·LG전자, 상업용 디스플레이 화질·연결성 '격돌'",negative
2024-02-26,"[MWC24] '갤럭시 링' 관심 최태원, 삼성전자에 ""따로 만나자"" 요청(종합)",neutral
2024-02-26,"삼성전자, 갤럭시 링 실물 첫 공개…""눈으로 먼저 보세요""",positive
2024-02-26,"삼성전자, '갤럭시 링' 최초 공개.. ""일반 반지처럼 생겼네""",positive
2024-04-30,"삼성전자, 프랑스 샹젤리제 거리에 '올림픽 체험관' 개관",neutral
2024-04-30,삼성전자 올 1분기 DS부문 영업익 1.91조…1년만 흑자전환,positive
2024-04-30,삼성전자 반도체 다시 날다…5분기만에 흑자 1.9조(종합),positive
2024-05-29,"삼성전자, 美 냉난방공조 기업 레녹스와 합작법인 설립",positive
2024-05-29,"삼성전자 노조, 파업 차질 얼마나…""20% 데미지""",negative
2024-05-29,"삼성전자 공장 직원 2명, 작업 중 방사선에 피폭",negative
2024-05-30,"삼성전자, 한국외대서 '갤럭시 AI 캠퍼스 투어 라이브'",neutral
2024-05-30,"삼성전자, AI PC 출시",positive
2024-05-30,"삼성전자, 중남미 고객 대상 ‘AI TV’ 신기술 공략",positive
2024-06-27,"“11만 전자 간다” 삼성전자 목표가 상향 [오늘, 이 종목]",positive
2024-06-27,"삼성전자 신기술 적용 이미지센서 3종 공개…""일관된 촬영 경험 제공""",positive
2024-06-27,"삼성전자, IoT 신용카드 출시",positive
2024-07-31,"삼성전자, 2분기 영업익 10.4조…1460% 증가 '어닝 서프라이즈'",positive
2024-07-31,삼성전자 2Q 영업익 10조4439억…반도체만 6조4500억(2보),positive
2024-07-31,"삼성전자 DX, 재생에너지 전환율 93.4% 달성",positive
2024-08-26,"'방사선 피폭' 삼성전자 직원, 기준치 최대 188배",negative
2024-08-26,"'기준치 최대 188배' 삼성전자 직원, 손에 방사선 피폭",negative
2024-08-26,"'기준치 188배' 피폭 직원 ""대응 엉망""...삼성전자 ""치료 위해 최선""",negative
2024-08-27,"삼성전자, 퀄컴과 車반도체 첫 협력…완성차 공급 길 열려",positive
2024-08-27,"삼성전자, 2024년형 홈 프로젝터 ‘더 프리미어’ 2종 출시",positive
2024-08-27,"삼성전자, 5000명 패럴림픽 선수단에 ‘플립6’ 올림픽 에디션 제공",neutral
2024-08-29,"삼성전자 사장 출신 고동진 의원, 어디 주식 있나 봤더니…",neutral
2024-08-29,"삼성전자, '삼성 개발자 콘퍼런스 2024' 10월 개최",neutral
2024-08-29,"삼성전자, ‘삼성 개발자 콘퍼런스 2024’ 개최",neutral
2024-09-29,"삼성전자, ""국내 '갤럭시 AI' 적용 단말기 2000만대 돌파""",positive
2024-09-29,"삼성전자 ""국내 '갤럭시 AI' 적용 단말기 2천만 대 돌파""",positive
2024-09-29,"삼성전자 ""국내 '갤럭시 AI' 적용 단말기 2000만대 돌파""",positive
2024-09-30,"삼성전자, ‘갤럭시 워치 울트라’ 체험 행사 펼쳐",neutral
2024-09-30,"삼성전자, '갤럭시 워치 울트라' 체험 행사 펼쳐",neutral
2024-09-30,"삼성전자, 군인∙경찰∙소방 공무원 대상 'K-히어로 페스타' 실시",neutral
2024-10-30,"삼성전자, 美 국립표준기술연구소 암호 모듈 보안 인증 획득",positive
2024-10-30,"삼성전자, 美 NIST서 '암호 모듈' 보안 인증 획득",positive
2024-10-30,"삼성전자 DX부문, 'Global EHS 협력사 데이' 개최",positive
2024-11-28,기술·中·컨설팅…삼성 전자 계열사 인사로 본 키워드(종합),positive
2024-11-28,"삼성전자, 32만원 가성비폰 갤럭시 A16 LTE 출시",positive
2024-11-28,돌아온 박학규 사장…삼성전자 사업지원TF 내 역할은?,neutral
2024-12-27,"삼성전자 반도체, 연말 성과급 '연봉 12~16%' 책정",negative
2024-12-27,"삼성전자 연말 성과급, 반도체는 연봉의 12~16%, 모바일 40~44%",negative
2024-12-27,"삼성전자 반도체, 올해는 연말 성과급 받는다",negative
2024-12-29,"삼성전자 사장, 내년 美 ISSCC 기조연설",neutral
2024-12-29,"삼성전자, 시각장애인 접근 강화...'가전 QR 모드' 탑재",positive
2024-12-29,"삼성전자, 세계 200개국 시각장애인 가전 접근성 확대",positive
2025-01-30,우크라에 사살된 북한군 소지품서 김정은 신년 메시지·삼성전자 휴대전화 나와,neutral
2025-01-30,"주52시간 이상 특별연장근로, 삼성전자 43만 시간  vs 하이닉스 0시간",neutral
2025-01-30,트럼프 '보조금 지출 중단' 움직임에…삼성전자·SK하이닉스 '긴장',negative
2025-02-24,삼성전자 다니는 '세 자녀' 엄마·아빠 정년 후 재고용,positive
2025-02-24,"삼성전자 노사, 올해 임금인상률 5.1%에 자사주 30주 합의",positive
2025-02-24,"삼성전자 노사, 임금 5.1% 인상·자사주 30주 지급 합의",positive
2025-04-30,"삼성전자, '갤럭시 효과'에 1분기 호실적…매출 사상 최대(종합)",positive
2025-04-30,"삼성전자, 1분기 영업익 6.7조…매출 79.1조 사상 최대",positive
2025-04-30,"'갤S25 효과' 삼성전자, 1분기 영업익 6.7조 선방…반도체 1.1조(종합)",positive
2025-05-27,"삼성전자, 英소비자연맹지 '올해의 홈엔터테인먼트 브랜드' 선정",positive
2025-05-27,"삼성전자, ‘비스포크 AI 에어 콤보’ 출시",positive
2025-05-27,"시노펙스, 삼성전자 '상생 협력 데이'서 우수상 수상",positive
2025-06-29,"""AI 가전으로 쾌적한 여름""…삼성전자, 부산서 전시회 참가",neutral
2025-06-29,"삼성전자, 부산서 라이프스타일 전시 개최",neutral
