date,title,sentiment
2022-01-24,[단독] 삼성전자 또 당했다…거액 노린 유럽 특허 사냥꾼 소송,negative
2022-01-24,"""국내 제조업 취업자 5년간 18만명↓…삼성전자-현대차 합친 규모""",negative
2022-01-24,"지난 5년간 삼성전자 하나, 현대차 하나가 사라졌다",negative
2022-01-25,"삼성전자, 글로벌 반도체 매출 3년만에 1위 탈환…올해도 지킬까",positive
2022-01-25,제조업 일자리 5년간 ‘삼성전자+현대차’ 합친만큼 사라져,negative
2022-01-25,"삼성전자, 특허 침해로 또 피소…특허 괴물에 몸살",negative
2022-02-20,"삼성전자, 글로벌 TV 시장서 16년 연속 1위 달성",positive
2022-02-20,"삼성전자, 글로벌 TV 시장서 16년 연속 1위…점유율 29.5%",positive
2022-02-20,"삼성전자, 세계 TV시장서 16년 연속 1위",positive
2022-02-23,"삼성전자, 혁신 스타트업 육성 'C랩 아웃사이드' 4기 발대식 개최",positive
2022-02-23,"삼성전자, 직원 평균 연봉 1.4억…CEO는 62.8억 '45배 격차'",positive
2022-02-23,삼성전자 지난해 직원 연봉은 1억4000만원..CEO는?,neutral
2022-02-25,"삼성전자, 갤럭시S22 전세계 출시…사전판매 2배↑",positive
2022-02-25,"삼성전자, '갤럭시 S22·탭S8' 전세계 출시… 사전판매 전작 2배",positive
2022-02-25,"한종희 삼성전자 부회장, CES 이어 MWC 직접 챙긴다",neutral
2022-03-28,"검찰, '급식 일감몰아주기' 삼성전자·웰스토리 압수수색(종합2보)",negative
2022-03-28,삼성전자·삼성웰스토리 동시 압수수색…이재용 승계 겨누나,positive
2022-03-28,"검찰, '부당지원 의혹' 삼성전자·웰스토리 압수수색(종합)",negative
2022-03-30,"한종희 삼성전자 부회장, 사용자 경험 혁신 강조…""알아서 맞추는 캄테크 필요""",positive
2022-03-30,"삼성전자 ""보는 TV에서 즐기는 TV로…스크린 개념 바뀐다""",neutral
2022-03-30,상속세 위해 삼성전자 주식 1.3조원 판 홍라희 여사,negative
2022-07-30,"삼성전자, 세계 최초 3나노 파운드리 출하",positive
2022-07-30,"""삼성전자 8층 언제 오나""…'연봉 3000만원' 흙수저의 절규 [박의명의 불개미 구조대]",negative
2022-07-30,"악재에도 잘 버틴 삼성·LG전자, 더 불안한 하반기는 어떻게?",negative
2022-07-31,삼성전자 CEO의 휴가 추천서…'리:프레이밍' 등 5권,neutral
2022-07-31,"삼성전자, 전 세계 주요 도시에 '갤럭시 언팩 2022' 옥외광고",neutral
2022-07-31,[언팩D-10②] 삼성전자 4세대 폴더블폰 공급망 살펴보니…부품사 기대감↑,positive
2022-09-28,"삼성전자 생활가전, '스마트싱스' 연결 1000만대 돌파",positive
2022-09-28,"'4만전자' 눈앞… 삼성전자, 6일째 '52주 신저가'",negative
2022-09-28,"삼성전자, 'SDC 2022' 맞아 美 샌프란시스코 갤럭시 체험관 운영",neutral
2022-09-30,코스피 2년만의 최저점 찍을때 삼성전자 올랐다…왜?,neutral
2022-09-30,삼성전자 또 신저가...5만2000원선 '위태',negative
2022-09-30,"삼성전자, 5만1900원으로 하락…또 52주 신저가 [증시이슈]",negative
2022-10-26,"""핼러윈부터 연말 파티까지""…삼성전자, 비스포크 페스티벌",neutral
2022-10-26,"우리카드, 삼성전자와 ‘마이펫플랜’ 출시 업무협약",positive
2022-10-26,"우리카드, 삼성전자와 반려동물 케어 서비스 출시 협약",positive
2022-10-28,"이재용 삼성전자 회장, 취임 첫 행보로 협력사 '디케이' 찾은 이유",positive
2022-10-28,檢 ‘반도체 기술 유출’ 삼성전자 전·현직 10명 기소,negative
2022-10-28,"이재용 삼성전자 회장, 취임 후 첫 공식 행보로 광주 협력업체 찾아 [뉴시스Pic]",positive
2023-02-26,"[MWC 2023] ""갤럭시 생태계, 직접 체험해 보세요""…삼성전자, 대규모 전시관 마련",neutral
2023-02-26,"삼성전자, 이라크 '스마트싱스 홈' 개관…중동 IoT시장 공략",positive
2023-02-26,"삼성전자, 이라크서 스마트싱스 홈 개관…중동 IoT 시장 공략",positive
2023-04-22,"삼성전자, 미 특허침해 소송서 4천억 원 배상 평결",negative
2023-04-22,"삼성전자, 미 특허소송서 4000억원 배상 평결",negative
2023-04-22,"삼성전자, 미 특허소송서 4000억원 배상 평결",negative
2023-04-23,"삼성전자, '스마트싱스'로 라마다 특수 공략",positive
2023-04-23,"'반도체 적자' 삼성전자, 2분기 '전체 적자' 전망도 나온다",negative
2023-04-23,2분기 적자 전망 커지는 삼성전자...TSMC·ASML “예상보다 침체 길어질 것”,negative
2023-04-26,"삼성전자, '방방냉방' 가능한 '비스포크 창문형 무풍에어컨' 출시",positive
2023-04-26,"삼성전자, '비스포크 무풍에어컨 윈도우핏' 출시…창문형 최초 무풍냉방",positive
2023-04-26,'사상 최대 적자' SK하이닉스‥삼성전자 발표 임박 '먹구름',negative
2023-04-27,"삼성전자, 中 가전전시회서 89형 마이크로 LED 공개",positive
2023-04-27,"삼성전자 ""엑시노스, 갤럭시S 시리즈 재진입 추진 중""",positive
2023-04-27,"삼성 수익 추월한 LG전자…""1분기 웃고, 2분기도 기대""",positive
2023-05-30,"[특징주] 삼성전자·SK하이닉스, 52주 신고가 기록",positive
2023-05-30,"""청년에 일경험""…SK하이닉스·삼성전자 등 2100명 모집",neutral
2023-05-30,"삼성전자, 중동 프리미엄 TV 시장 공략 강화",positive
2023-07-26,"삼성전자, ‘갤럭시 Z 폴드5·플립5’ 한국서 공개",positive
2023-07-26,3년 연속 기업상 '녹색마스터피스상' 수상한 삼성전자,positive
2023-07-26,삼성전자·LG전자 '대한민국 올해의 녹색상품' 대거 수상,positive
2023-07-27,"삼성전자, 2Q 영업이익 6700억...미래투자 '역대최대'",positive
2023-07-27,"삼성전자 ""차량용 메모리 시장, 연평균 30% 중후반 성장""",positive
2023-07-27,"""재고량 '피크' 찍었다""…삼성전자 감산효과 '본격화'",negative
2023-08-30,"삼성전자, 10월 '삼성 개발자 콘퍼런스' 연다…""개발자 모여라""",neutral
2023-08-30,"삼성전자, 개발자 콘퍼런스 개최…한종희, 비전 발표",neutral
2023-08-30,"삼성전자 개발자 콘퍼런스, 美 개최…누구나 현장 참여 가능",neutral
2023-09-26,"삼성전자, 업계 최초 LPCAMM 개발",positive
2023-09-26,"삼성전자, 업계 최초 LPCAMM 개발… 내년 상용화",positive
2023-09-26,삼성전자 美법인 '비즈니계 오스카상'서 '올해의 고용주' 금상 수상,positive
2023-09-27,"삼성전자 9.4만 간다…한투證 ""주당순익 상승구간 진입""",positive
2023-09-27,"삼성전자서비스, 임시공휴일에 휴대전화 서비스센터 32곳 운영",neutral
2023-09-27,"삼성전자서비스, 임시공휴일에 서비스센터 32곳 운영",neutral
2023-10-31,"삼성전자, 3분기 2.4조 영업익…메모리 저점 인식 확산",positive
2023-10-31,"불황에도 초격차 계속된다…삼성전자, 사상 최대 53.7조 시설 투자",negative
2023-10-31,"삼성전자, 3분기 2.4조 영업익…메모리 저점 인식 확산(종합)",positive
2023-11-27,"""미래 도전 속 안정""…삼성전자 사장단 인사 의미(종합)",positive
2023-11-27,"삼성전자, 용석우·김원경 사장 승진...한종희·경계현 '투톱' 유지",positive
2023-11-27,"삼성전자 사장단 인사날 귀국한 이재용, 인사 질문에…",positive
2023-12-28,"[단독] 한미반도체, HBM 핵심 'TC본더' 삼성전자 독점공급 논의",positive
2023-12-28,"""내년엔 정말 8만전자?""…삼성전자, 마지막 날도 '52주 신고가'[핫종목]",positive
2023-12-28,수의사 원격 상담·딥러닝 AI반도체…삼성전자가 키운 스타트업,positive
2024-01-29,"'실적 부진' 삼성전자, 성과급 희비…모바일 50%~반도체 0%",negative
2024-01-29,삼성전자 반도체 성과급 '0'...모바일은 연봉의 '50%',negative
2024-01-29,삼성전자 반도체 성과급 0%…실적 이끈 모바일 50%,negative
2024-01-30,"삼성전자, '갤럭시 S24 시리즈' 31일부터 전세계 120여국에서 순차 출시",positive
2024-01-30,"삼성·LG전자, 유럽 최대 디스플레이 전시서 B2B 신제품 선보여(종합)",positive
2024-01-30,"[기업] 삼성·LG전자, 디스플레이 전시 ISE서 B2B 신제품 선보여",positive
2024-01-31,"삼성전자, 4분기 영업익 2.8조…D램 흑자전환(종합)",positive
2024-01-31,삼성전자 2023년 매출 6조5670억… 4분기 들어 D램 흑자 전환,negative
2024-01-31,"갤S24 공시지원금 늘어날까…방통위, 삼성전자‧이통사에 확대 요청",positive
2024-02-27,"삼성 부스 찾은 LGU+ 황현식 ""AI 협업하자"" [MWC 24]",neutral
2024-02-27,"삼성전자, 작년 4분기 D램 점유율 반등 성공…45.7% '1위'",positive
2024-02-27,"삼성전자 ""HBM3E 12단 상반기 양산""… 주도권 탈환 승부수",positive
2024-03-27,"지난해 500대 기업 영업익 25% ↓…삼성전자, 최대 하락",negative
2024-03-27,2023년 대기업 영업이익 26%↓…삼성전자 ‘감소 1위’,negative
2024-03-27,반도체 한파에 500대 기업 영업익 26% ↓…삼성전자 84.9% ↓,negative
2024-03-28,"삼성전자, 장중 8만 1000원 터치…52주 신고가 경신",positive
2024-03-28,"삼성전자 '상생협력데이' 열어…한종희 ""미래 트렌드 파악하자""",positive
2024-03-28,"삼성전자, 협력사 협의회 회원사와 ‘2024 상생협력 DAY’ 개최",positive
2024-05-29,"삼성전자 노조, 파업 차질 얼마나…""20% 데미지""",negative
2024-05-29,삼성전자 노조 파업에 주가 '출렁'…3.09% 급락,negative
